Vehicle_Category,Administrative_Region,Vehicle_Type,Max_Voltage_Battery_Pack_Index,Max_Voltage_Battery_Index,Max_Voltage_Value_V,Min_Voltage_Battery_Pack_Index,Min_Voltage_Battery_Index,Min_Voltage_Value_V,Total_Voltage_V,Max_Temperature_Battery_Pack_Index,Max_Temperature_Probe_Index,Max_Temperature_Value_DegreeC,Min_Temperature_Battery_Pack_Index,Min_Temperature_Probe_Index,Min_Temperature_Value_DegreeC,State_Of_Charge,Total_Current_A,Insulation_Resistance_MegaOhm,Remaining_Energy_kWh,Validity,Upload_Date,Upload_Time
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,1,3.96,1,81,3.94,358.7,1,17,11,1,1,7,76.0,1.7,10000,23.1,Invalid,2015-04-02,08:24:46
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,1,3.96,1,81,3.94,358.8,1,17,11,1,1,7,76.0,0.0,10000,23.1,Invalid,2015-04-02,08:24:56
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,1,3.96,1,81,3.94,358.7,1,16,9,1,1,7,76.0,1.3,10000,23.1,Invalid,2015-04-02,13:12:10
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,8,3.98,1,81,3.94,358.7,1,17,9,1,1,7,76.0,0.8,10000,23.1,Invalid,2015-04-02,13:12:20
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,1,3.96,1,81,3.94,358.6,1,16,9,1,1,7,76.0,2.7,10000,23.1,Invalid,2015-04-02,13:12:30
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,1,3.96,1,81,3.94,358.7,1,16,9,1,5,7,76.0,0.6,10000,23.1,Invalid,2015-04-02,13:12:40
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,1,3.96,1,81,3.92,358.6,1,16,9,1,5,7,76.0,3.1,10000,23.1,Invalid,2015-04-02,13:12:50
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,1,3.96,1,81,3.92,358.5,1,16,9,1,5,7,76.0,2.9,10000,23.1,Invalid,2015-04-02,13:13:00
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,1,3.96,1,81,3.92,358.0,1,16,9,1,5,7,76.0,9.4,10000,23.1,Invalid,2015-04-02,13:13:10
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,1,3.96,1,81,3.92,358.6,1,16,9,1,1,7,76.0,0.9,10000,23.1,Invalid,2015-04-02,13:13:20
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,1,3.96,1,81,3.92,358.6,1,16,9,1,5,7,76.0,0.9,10000,23.1,Invalid,2015-04-02,13:13:30
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,1,3.96,1,81,3.92,358.6,1,17,9,1,2,7,76.0,1.1,10000,23.1,Invalid,2015-04-02,13:13:40
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,1,3.94,1,81,3.9,356.3,1,17,9,1,1,7,75.6,30.3,10000,23.0,Invalid,2015-04-02,13:13:50
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,47,3.92,1,12,3.86,354.3,1,16,9,1,1,7,75.6,45.1,10000,23.0,Invalid,2015-04-02,13:14:00
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,32,3.9,1,40,3.84,352.2,1,16,9,1,1,7,75.6,64.1,10000,23.0,Invalid,2015-04-02,13:14:10
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,1,3.96,1,81,3.92,358.1,1,16,9,1,1,7,75.2,-19.2,10000,22.9,Invalid,2015-04-02,13:14:20
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,12,3.98,1,81,3.92,358.0,1,16,9,1,1,7,75.2,-14.8,10000,22.9,Invalid,2015-04-02,13:14:30
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,47,3.96,1,81,3.92,356.6,1,16,9,1,1,8,75.2,13.3,10000,22.9,Invalid,2015-04-02,13:14:40
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,47,3.92,1,12,3.88,352.0,1,16,9,1,1,7,75.2,78.1,10000,22.9,Invalid,2015-04-02,13:14:50
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,1,3.84,1,40,3.76,346.8,1,16,9,1,1,7,75.2,128.6,10000,22.9,Invalid,2015-04-02,13:15:00
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,8,4.0,1,81,3.9,360.1,1,16,9,1,1,7,74.4,-69.6,10000,22.8,Invalid,2015-04-02,13:15:10
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,1,3.94,1,81,3.9,356.7,1,16,9,1,1,8,74.4,-2.6,10000,22.8,Invalid,2015-04-02,13:15:20
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,1,3.94,1,81,3.9,356.3,1,16,9,1,1,7,74.4,1.8,10000,22.8,Invalid,2015-04-02,13:15:30
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,12,3.94,1,81,3.9,355.7,1,16,9,1,2,7,74.4,1.9,10000,22.8,Invalid,2015-04-02,13:15:40
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,12,3.92,1,1,3.9,355.4,1,16,9,1,1,7,74.4,2.9,10000,22.6,Invalid,2015-04-02,13:15:50
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,28,3.94,1,81,3.9,354.2,1,16,9,1,1,7,74.4,24.7,10000,22.6,Invalid,2015-04-02,13:16:00
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,12,3.98,1,81,3.9,358.0,1,16,9,1,6,7,74.4,-26.7,10000,22.6,Invalid,2015-04-02,13:16:10
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,1,3.92,1,81,3.88,353.6,1,16,9,1,1,7,74.4,43.1,10000,22.6,Invalid,2015-04-02,13:16:20
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,28,3.94,1,81,3.9,356.1,1,16,9,1,1,7,74.4,2.9,10000,22.6,Invalid,2015-04-02,13:16:30
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,33,3.92,1,8,3.88,353.5,1,16,9,1,1,7,74.4,32.4,10000,22.6,Invalid,2015-04-02,13:16:40
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,60,3.9,1,81,3.84,352.2,1,15,9,1,2,7,74.4,44.2,10000,22.6,Invalid,2015-04-02,13:16:50
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,1,3.9,1,81,3.78,354.3,1,16,9,1,1,7,74.0,1.9,10000,22.5,Invalid,2015-04-02,13:17:00
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,33,3.92,1,81,3.88,353.3,1,16,9,1,1,7,74.0,30.3,10000,22.5,Invalid,2015-04-02,13:17:10
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,12,4.0,1,81,3.92,356.5,1,16,9,1,1,7,74.0,-16.3,10000,22.5,Invalid,2015-04-02,13:17:20
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,40,3.84,1,60,3.78,344.1,1,16,9,1,1,7,73.6,130.5,10000,22.4,Invalid,2015-04-02,13:17:30
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,12,3.9,1,40,3.76,352.0,1,16,9,1,1,7,73.2,3.2,10000,22.3,Invalid,2015-04-02,13:17:40
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,40,3.94,1,81,3.88,354.7,1,15,9,1,1,8,73.2,-10.0,10000,22.3,Invalid,2015-04-02,13:17:50
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,16,3.8,1,81,3.76,343.5,1,15,9,1,1,8,73.2,143.1,10000,22.3,Invalid,2015-04-02,13:18:00
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,1,3.8,1,60,3.74,342.9,1,16,9,1,1,8,72.4,133.6,10000,22.2,Invalid,2015-04-02,13:18:10
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,3,3.9,1,81,3.86,352.6,1,16,9,1,1,8,72.4,-16.8,10000,22.0,Invalid,2015-04-02,13:18:20
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,1,3.9,1,81,3.84,352.8,1,16,9,1,1,8,72.4,-18.2,10000,22.0,Invalid,2015-04-02,13:18:30
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,33,3.88,1,5,3.82,348.8,1,16,9,1,1,8,72.4,63.9,10000,22.0,Invalid,2015-04-02,13:18:40
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,1,3.88,1,81,3.84,351.1,1,15,9,1,1,8,72.4,25.0,10000,22.0,Invalid,2015-04-02,13:18:50
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,30,3.9,1,60,3.82,352.5,1,15,9,1,1,8,72.4,2.0,10000,22.0,Invalid,2015-04-02,13:19:00
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,1,3.92,1,81,3.88,354.4,1,10,9,1,1,8,72.4,-16.0,10000,22.0,Invalid,2015-04-02,13:19:10
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,12,3.86,1,60,3.78,349.4,1,10,9,1,1,8,72.4,60.7,10000,22.0,Invalid,2015-04-02,13:19:20
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,1,3.92,1,81,3.88,354.7,1,17,10,1,1,8,72.4,-12.8,10000,22.0,Invalid,2015-04-02,13:19:30
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,4,3.92,1,81,3.88,354.1,1,17,10,1,1,8,72.4,0.0,10000,22.0,Invalid,2015-04-02,13:19:40
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,1,3.94,1,81,3.9,356.1,1,7,9,1,1,8,71.6,0.6,10000,21.8,Invalid,2015-04-02,14:07:37
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,1,3.94,1,81,3.9,356.1,1,17,10,1,1,8,71.6,0.6,10000,21.8,Invalid,2015-04-02,14:07:47
