Vehicle_Category,Administrative_Region,Vehicle_Type,Max_Voltage_Battery_Pack_Index,Max_Voltage_Battery_Index,Max_Voltage_Value_V,Min_Voltage_Battery_Pack_Index,Min_Voltage_Battery_Index,Min_Voltage_Value_V,Total_Voltage_V,Max_Temperature_Battery_Pack_Index,Max_Temperature_Probe_Index,Max_Temperature_Value_DegreeC,Min_Temperature_Battery_Pack_Index,Min_Temperature_Probe_Index,Min_Temperature_Value_DegreeC,State_Of_Charge,Total_Current_A,Insulation_Resistance_MegaOhm,Remaining_Energy_kWh,Validity,Upload_Date,Upload_Time
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,60,4.08,1,1,4.06,370.6,1,2,18,1,14,15,84.4,-8.0,10000,25.7,Invalid,2015-04-02,00:00:06
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,60,4.08,1,1,4.06,370.6,1,2,18,1,14,15,84.4,-8.0,10000,25.7,Invalid,2015-04-02,00:00:16
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,60,4.08,1,1,4.06,370.6,1,2,18,1,14,15,84.4,-8.0,10000,25.7,Invalid,2015-04-02,00:00:26
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,60,4.08,1,1,4.06,370.7,1,2,18,1,14,15,84.4,-8.0,10000,25.7,Invalid,2015-04-02,00:00:36
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,60,4.08,1,1,4.06,370.7,1,2,18,1,14,15,84.4,-8.0,10000,25.7,Invalid,2015-04-02,00:00:46
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,60,4.08,1,1,4.06,370.7,1,2,18,1,14,15,84.4,-8.0,10000,25.7,Invalid,2015-04-02,00:00:56
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,60,4.08,1,1,4.06,370.7,1,2,18,1,10,15,84.4,-8.0,10000,25.7,Invalid,2015-04-02,00:01:06
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,60,4.08,1,1,4.06,370.7,1,2,18,1,10,15,84.4,-8.0,10000,25.7,Invalid,2015-04-02,00:01:16
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,60,4.08,1,1,4.06,370.7,1,2,18,1,10,15,84.4,-8.0,10000,25.7,Invalid,2015-04-02,00:01:26
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,51,4.08,1,1,4.06,370.8,1,2,18,1,10,15,84.8,-8.0,10000,25.8,Invalid,2015-04-02,00:01:36
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,58,4.08,1,1,4.06,370.8,1,2,18,1,10,15,84.8,-8.0,10000,25.8,Invalid,2015-04-02,00:01:46
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,4,4.08,1,1,4.06,370.8,1,2,18,1,10,15,84.8,-8.0,10000,25.8,Invalid,2015-04-02,00:01:56
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,4,4.08,1,1,4.06,370.8,1,2,18,1,10,15,84.8,-8.0,10000,25.8,Invalid,2015-04-02,00:02:06
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,51,4.08,1,1,4.06,370.8,1,2,18,1,10,15,84.8,-8.0,10000,25.8,Invalid,2015-04-02,00:02:16
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,37,4.08,1,1,4.06,370.8,1,2,18,1,10,15,84.8,-8.0,10000,25.8,Invalid,2015-04-02,00:02:26
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,4,4.08,1,1,4.06,370.8,1,2,18,1,10,15,84.8,-8.0,10000,25.8,Invalid,2015-04-02,00:02:36
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,3,4.08,1,1,4.06,370.8,1,2,18,1,10,15,84.8,-8.0,10000,25.8,Invalid,2015-04-02,00:02:46
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,4,4.08,1,1,4.06,370.9,1,2,18,1,10,15,84.8,-8.0,10000,25.8,Invalid,2015-04-02,00:02:56
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,3,4.08,1,1,4.06,370.9,1,2,18,1,10,15,84.8,-8.0,10000,25.8,Invalid,2015-04-02,00:03:06
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,4,4.08,1,1,4.06,370.9,1,2,18,1,10,15,84.8,-8.0,10000,25.8,Invalid,2015-04-02,00:03:16
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,3,4.08,1,1,4.06,370.9,1,2,18,1,10,15,84.8,-8.0,10000,25.8,Invalid,2015-04-02,00:03:26
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,3,4.08,1,1,4.06,370.9,1,2,18,1,10,15,84.8,-8.0,10000,25.8,Invalid,2015-04-02,00:03:36
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,1,4.08,1,2,4.06,370.9,1,2,18,1,10,15,84.8,-8.0,10000,25.8,Invalid,2015-04-02,00:03:46
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,1,4.08,1,2,4.06,371.0,1,2,18,1,10,15,84.8,-8.0,10000,25.8,Invalid,2015-04-02,00:03:56
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,3,4.08,1,1,4.06,371.0,1,2,18,1,10,15,84.8,-8.0,10000,25.8,Invalid,2015-04-02,00:04:06
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,1,4.08,1,2,4.06,371.0,1,2,18,1,10,15,85.2,-8.0,10000,25.9,Invalid,2015-04-02,00:04:16
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,3,4.08,1,1,4.06,371.0,1,2,18,1,10,15,85.2,-8.0,10000,25.9,Invalid,2015-04-02,00:04:26
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,1,4.08,1,2,4.06,371.0,1,2,18,1,10,15,85.2,-8.0,10000,25.9,Invalid,2015-04-02,00:04:36
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,1,4.08,1,2,4.06,371.0,1,2,18,1,10,15,85.2,-8.0,10000,25.9,Invalid,2015-04-02,00:04:46
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,1,4.08,1,2,4.06,371.0,1,2,18,1,10,15,85.2,-8.0,10000,25.9,Invalid,2015-04-02,00:04:56
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,1,4.08,1,2,4.06,371.1,1,2,18,1,10,15,85.2,-8.0,10000,25.9,Invalid,2015-04-02,00:05:06
