Vehicle_Category,Administrative_Region,Vehicle_Type,Max_Voltage_Battery_Pack_Index,Max_Voltage_Battery_Index,Max_Voltage_Value_V,Min_Voltage_Battery_Pack_Index,Min_Voltage_Battery_Index,Min_Voltage_Value_V,Total_Voltage_V,Max_Temperature_Battery_Pack_Index,Max_Temperature_Probe_Index,Max_Temperature_Value_DegreeC,Min_Temperature_Battery_Pack_Index,Min_Temperature_Probe_Index,Min_Temperature_Value_DegreeC,State_Of_Charge,Total_Current_A,Insulation_Resistance_MegaOhm,Remaining_Energy_kWh,Validity,Upload_Date,Upload_Time
Electric_Taxi,Tongzhou_District,200,1,1,3.94,1,12,3.9,356.90,1,16,16,1,1,13,80,58,10000,24.4,Invalid,2015-04-02,000001
Electric_Taxi,Tongzhou_District,200,1,1,3.98,1,1,3.98,358.10,1,18,16,1,1,13,80,32.2,10000,24.4,Invalid,2015-04-02,000008
Electric_Taxi,Tongzhou_District,200,1,1,3.98,1,1,3.98,360.70,1,16,16,1,1,13,80,-19.6,10000,24.4,Invalid,2015-04-02,000018
Electric_Taxi,Tongzhou_District,200,1,1,3.94,1,60,3.9,355.60,1,18,16,1,1,13,80,85.6,10000,24.4,Invalid,2015-04-02,000028
Electric_Taxi,Tongzhou_District,200,1,1,3.96,1,10,3.94,359.10,1,16,16,1,1,13,80,3.1,10000,24.4,Invalid,2015-04-02,000038
Electric_Taxi,Tongzhou_District,200,1,1,3.98,1,1,3.98,359.80,1,18,16,1,1,12,79.6,-4.7,10000,24.2,Invalid,2015-04-02,000048
Electric_Taxi,Tongzhou_District,200,1,7,3.94,1,12,3.86,358.90,1,16,16,1,1,13,79.6,3.1,10000,24.2,Invalid,2015-04-02,000058
Electric_Taxi,Tongzhou_District,200,1,1,3.96,1,12,3.94,359.10,1,18,16,1,1,12,79.6,2.4,10000,24.2,Invalid,2015-04-02,000108
Electric_Taxi,Tongzhou_District,200,1,37,3.96,1,12,3.92,359.00,1,16,16,1,1,13,79.6,2.7,10000,24.2,Invalid,2015-04-02,000118
Electric_Taxi,Tongzhou_District,200,1,12,4.0,1,1,3.98,357.50,1,18,16,1,1,12,79.6,39,10000,24.2,Invalid,2015-04-02,000128
Electric_Taxi,Tongzhou_District,200,1,7,3.96,1,12,3.92,357.60,1,16,16,1,1,13,79.6,33.6,10000,24.2,Invalid,2015-04-02,000138
Electric_Taxi,Tongzhou_District,200,1,1,3.94,1,40,3.92,356.10,1,18,16,1,1,12,79.6,62,10000,24.2,Invalid,2015-04-02,000148
Electric_Taxi,Tongzhou_District,200,1,1,3.94,1,40,3.92,358.60,1,17,16,1,1,13,79.6,4,10000,24.2,Invalid,2015-04-02,000158
Electric_Taxi,Tongzhou_District,200,1,1,3.98,1,1,3.98,359.90,1,18,16,1,1,12,79.2,-19.4,10000,24.1,Invalid,2015-04-02,000208
Electric_Taxi,Tongzhou_District,200,1,12,3.96,1,40,3.92,356.50,1,17,16,1,1,13,79.2,53.6,10000,24.1,Invalid,2015-04-02,000218
Electric_Taxi,Tongzhou_District,200,1,1,3.96,1,3,3.94,357.90,1,16,16,1,1,12,79.2,19.6,10000,24.1,Invalid,2015-04-02,000228
Electric_Taxi,Tongzhou_District,200,1,37,3.98,1,1,3.96,359.20,1,17,16,1,1,13,79.2,-5.8,10000,24.1,Invalid,2015-04-02,000238
Electric_Taxi,Tongzhou_District,200,1,1,3.96,1,1,3.96,358.90,1,16,16,1,1,13,79.2,1.8,10000,24.1,Invalid,2015-04-02,000248
Electric_Taxi,Tongzhou_District,200,1,1,3.96,1,1,3.96,358.40,1,17,16,1,1,13,79.2,12.9,10000,24.1,Invalid,2015-04-02,000258
Electric_Taxi,Tongzhou_District,200,1,12,3.98,1,1,3.96,357.30,1,16,16,1,1,13,79.2,35.9,10000,24.1,Invalid,2015-04-02,000308
Electric_Taxi,Tongzhou_District,200,1,33,3.98,1,1,3.96,359.00,1,18,16,1,1,12,79.2,1.6,10000,24.1,Invalid,2015-04-02,000318
Electric_Taxi,Tongzhou_District,200,1,15,3.98,1,1,3.96,359.10,1,18,16,1,1,12,79.2,1.4,10000,24.1,Invalid,2015-04-02,000328
Electric_Taxi,Tongzhou_District,200,1,15,3.98,1,1,3.96,359.10,1,18,16,1,1,12,79.2,2.2,10000,24.1,Invalid,2015-04-02,000338
Electric_Taxi,Tongzhou_District,200,1,12,3.98,1,1,3.96,358.50,1,16,16,1,1,13,79.2,14.8,10000,24.1,Invalid,2015-04-02,000348
Electric_Taxi,Tongzhou_District,200,1,1,3.96,1,1,3.96,358.80,1,18,16,1,1,12,79.2,4.4,10000,24.1,Invalid,2015-04-02,000358
Electric_Taxi,Tongzhou_District,200,1,12,3.98,1,1,3.96,359.20,1,16,16,1,1,13,79.2,-0.4,10000,24.1,Invalid,2015-04-02,000408
Electric_Taxi,Tongzhou_District,200,1,4,3.98,1,1,3.96,359.20,1,18,16,1,1,12,79.2,0.7,10000,24.1,Invalid,2015-04-02,000418
Electric_Taxi,Tongzhou_District,200,1,7,3.98,1,1,3.96,359.20,1,18,16,1,1,13,79.2,1.6,10000,24.1,Invalid,2015-04-02,000428
Electric_Taxi,Tongzhou_District,200,1,1,3.96,1,1,3.96,357.80,1,18,16,1,1,12,78.8,27.8,10000,24,Invalid,2015-04-02,000438
Electric_Taxi,Tongzhou_District,200,1,12,3.98,1,1,3.96,359.20,1,16,16,1,1,13,78.8,-1.7,10000,24,Invalid,2015-04-02,000448
