Vehicle_Category,Administrative_Region,Vehicle_Type,Max_Voltage_Battery_Pack_Index,Max_Voltage_Battery_Index,Max_Voltage_Value_V,Min_Voltage_Battery_Pack_Index,Min_Voltage_Battery_Index,Min_Voltage_Value_V,Total_Voltage_V,Max_Temperature_Battery_Pack_Index,Max_Temperature_Probe_Index,Max_Temperature_Value_DegreeC,Min_Temperature_Battery_Pack_Index,Min_Temperature_Probe_Index,Min_Temperature_Value_DegreeC,State_Of_Charge,Total_Current_A,Insulation_Resistance_MegaOhm,Remaining_Energy_kWh,Validity,Upload_Date,Upload_Time
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,5,4.02,1,1,4.0,362.0,1,17,15,1,1,11,81.2,0.7,10000,24.7,Invalid,2015-04-02,05:35:03
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,5,4.02,1,1,4.0,362.0,1,17,15,1,1,11,81.2,0.7,10000,24.7,Invalid,2015-04-02,05:35:03
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,14,4.02,1,1,4.0,362.0,1,17,15,1,1,10,81.2,0.7,10000,24.7,Invalid,2015-04-02,05:35:03
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,17,4.02,1,1,4.0,362.0,1,17,15,1,3,10,81.2,1.4,10000,24.7,Invalid,2015-04-02,05:35:03
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,5,4.02,1,1,4.0,362.0,1,16,14,1,1,10,81.2,0.7,10000,24.7,Invalid,2015-04-02,05:35:03
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,1,4.0,1,1,4.0,361.5,1,17,15,1,2,10,80.8,4.0,10000,24.6,Invalid,2015-04-02,05:35:57
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,1,3.98,1,12,3.96,361.1,1,17,15,1,2,10,80.8,1.6,10000,24.6,Invalid,2015-04-02,05:35:57
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,6,4.0,1,1,3.98,359.7,1,17,15,1,1,11,80.8,34.5,10000,24.6,Invalid,2015-04-02,05:35:57
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,1,4.0,1,1,4.0,361.2,1,16,15,1,1,10,80.8,9.0,10000,24.6,Invalid,2015-04-02,05:35:57
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,1,4.0,1,1,4.0,361.2,1,17,15,1,1,10,80.4,0.0,10000,24.5,Invalid,2015-04-02,05:35:57
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,1,4.0,1,1,4.0,361.6,1,17,15,1,10,10,80.8,1.2,10000,24.6,Invalid,2015-04-02,05:35:57
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,1,4.0,1,7,3.98,360.7,1,16,14,1,1,10,80.4,6.4,10000,24.5,Invalid,2015-04-02,05:35:57
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,1,4.0,1,1,4.0,361.1,1,17,15,1,1,10,80.4,-3.5,10000,24.5,Invalid,2015-04-02,05:35:57
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,1,4.0,1,1,4.0,361.6,1,16,15,1,1,11,80.8,1.4,10000,24.6,Invalid,2015-04-02,05:35:57
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,1,4.0,1,18,3.98,360.7,1,17,15,1,1,11,80.8,10.2,10000,24.6,Invalid,2015-04-02,05:35:57
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,1,4.0,1,18,3.98,361.4,1,16,14,1,1,10,80.4,-7.6,10000,24.5,Invalid,2015-04-02,05:35:57
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,1,4.0,1,18,3.98,360.9,1,16,14,1,1,10,80.4,2.4,10000,24.5,Invalid,2015-04-02,05:35:57
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,1,4.0,1,1,4.0,361.6,1,16,14,1,1,10,80.8,1.2,10000,24.6,Invalid,2015-04-02,05:35:57
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,35,4.02,1,1,4.0,361.7,1,16,14,1,1,10,81.2,4.8,10000,24.7,Invalid,2015-04-02,05:35:57
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,1,4.0,1,1,4.0,361.6,1,17,15,1,3,10,80.8,4.1,10000,24.6,Invalid,2015-04-02,05:35:57
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,12,4.0,1,1,3.98,361.3,1,17,15,1,1,11,80.8,1.3,10000,24.6,Invalid,2015-04-02,05:35:57
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,12,4.02,1,1,4.0,361.3,1,16,14,1,1,10,80.8,9.8,10000,24.6,Invalid,2015-04-02,05:35:57
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,1,4.0,1,1,4.0,361.4,1,17,15,1,1,11,80.8,-0.6,10000,24.6,Invalid,2015-04-02,05:35:57
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,36,4.02,1,1,4.0,361.8,1,16,14,1,1,10,81.2,3.4,10000,24.7,Invalid,2015-04-02,05:35:57
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,35,4.02,1,1,4.0,361.8,1,16,14,1,1,10,81.2,2.5,10000,24.7,Invalid,2015-04-02,05:35:57
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,1,4.0,1,1,4.0,361.2,1,17,15,1,1,11,80.8,9.4,10000,24.6,Invalid,2015-04-02,05:35:57
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,1,4.0,1,1,4.0,361.7,1,16,14,1,1,10,80.8,0.8,10000,24.6,Invalid,2015-04-02,05:35:57
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,35,4.02,1,1,4.0,361.7,1,16,14,1,1,10,81.2,3.8,10000,24.7,Invalid,2015-04-02,05:35:57
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,1,4.0,1,12,3.98,360.7,1,16,15,1,1,10,80.8,19.0,10000,24.6,Invalid,2015-04-02,05:35:57
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,1,4.0,1,1,4.0,361.8,1,17,15,1,1,10,80.8,2.5,10000,24.6,Invalid,2015-04-02,05:35:57
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,5,4.02,1,1,4.0,362.0,1,16,14,1,1,10,81.2,1.6,10000,24.7,Invalid,2015-04-02,05:35:57
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,17,4.02,1,1,4.0,361.8,1,17,15,1,1,10,80.8,2.8,10000,24.6,Invalid,2015-04-02,05:35:57
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,1,4.0,1,7,3.98,360.7,1,16,14,1,1,10,80.0,1.4,10000,24.4,Invalid,2015-04-02,05:47:10
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,5,4.0,1,1,3.98,361.0,1,16,14,1,1,10,80.4,-0.5,10000,24.5,Invalid,2015-04-02,05:47:10
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,12,4.0,1,1,3.98,360.8,1,17,15,1,1,11,80.4,2.4,10000,24.5,Invalid,2015-04-02,05:47:10
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,1,3.98,1,12,3.94,360.5,1,17,15,1,1,10,80.0,1.8,10000,24.4,Invalid,2015-04-02,05:47:10
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,1,4.0,1,7,3.98,360.8,1,17,15,1,1,11,80.0,-2.3,10000,24.4,Invalid,2015-04-02,05:47:10
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,1,4.0,1,2,3.98,360.5,1,17,15,1,1,10,80.0,4.6,10000,24.4,Invalid,2015-04-02,05:47:10
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,3,4.0,1,1,3.98,360.6,1,17,15,1,1,11,80.0,2.7,10000,24.4,Invalid,2015-04-02,05:47:10
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,1,4.0,1,7,3.98,360.7,1,17,15,1,1,11,80.0,2.1,10000,24.4,Invalid,2015-04-02,05:47:10
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,1,4.0,1,7,3.98,360.7,1,16,14,1,3,9,80.0,2.3,10000,24.4,Invalid,2015-04-02,05:50:03
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,1,4.0,1,7,3.98,360.8,1,17,15,1,1,11,80.0,0.9,10000,24.4,Invalid,2015-04-02,05:50:03
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,1,4.0,1,7,3.98,360.8,1,18,15,1,1,10,80.0,0.0,10000,24.4,Invalid,2015-04-02,05:50:03
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,1,4.0,1,30,3.98,361.1,1,17,14,1,1,9,79.6,0.8,10000,24.2,Invalid,2015-04-02,06:18:40
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,1,4.0,1,1,4.0,361.1,1,16,14,1,1,10,79.6,0.8,10000,24.2,Invalid,2015-04-02,06:18:40
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,1,4.0,1,1,4.0,361.1,1,16,14,1,1,9,79.6,0.8,10000,24.2,Invalid,2015-04-02,06:18:40
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,1,4.0,1,1,4.0,361.1,1,16,14,1,1,10,79.6,0.7,10000,24.2,Invalid,2015-04-02,06:18:40
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,2,3.78,1,1,3.76,342.3,1,16,14,1,1,11,56.8,1.8,10000,17.3,Invalid,2015-04-02,06:19:21
