Vehicle_Category,Administrative_Region,Vehicle_Type,Max_Voltage_Battery_Pack_Index,Max_Voltage_Battery_Index,Max_Voltage_Value_V,Min_Voltage_Battery_Pack_Index,Min_Voltage_Battery_Index,Min_Voltage_Value_V,Total_Voltage_V,Max_Temperature_Battery_Pack_Index,Max_Temperature_Probe_Index,Max_Temperature_Value_DegreeC,Min_Temperature_Battery_Pack_Index,Min_Temperature_Probe_Index,Min_Temperature_Value_DegreeC,State_Of_Charge,Total_Current_A,Insulation_Resistance_MegaOhm,Remaining_Energy_kWh,Validity,Upload_Date,Upload_Time
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,1,3.72,1,1,3.72,340.9,1,16,20,1,1,16,47.2,-8.8,10000,14.3,Invalid,2015-04-02,00:00:03
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,1,3.72,1,1,3.72,341.0,1,16,20,1,1,16,47.2,-8.8,10000,14.3,Invalid,2015-04-02,00:00:13
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,1,3.72,1,1,3.72,341.0,1,16,20,1,1,16,47.2,-8.8,10000,14.3,Invalid,2015-04-02,00:00:23
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,1,3.72,1,1,3.72,341.0,1,16,20,1,1,16,47.2,-8.8,10000,14.3,Invalid,2015-04-02,00:00:33
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,1,3.72,1,1,3.72,341.0,1,16,20,1,1,16,47.2,-8.8,10000,14.3,Invalid,2015-04-02,00:00:43
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,1,3.72,1,1,3.72,341.1,1,16,20,1,1,16,47.2,-8.8,10000,14.3,Invalid,2015-04-02,00:00:53
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,1,3.72,1,1,3.72,341.1,1,16,20,1,1,16,47.2,-8.8,10000,14.3,Invalid,2015-04-02,00:01:03
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,1,3.72,1,1,3.72,341.1,1,16,20,1,1,16,47.2,-8.8,10000,14.3,Invalid,2015-04-02,00:01:13
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,1,3.72,1,1,3.72,341.1,1,16,20,1,1,16,47.2,-8.8,10000,14.3,Invalid,2015-04-02,00:01:23
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,1,3.72,1,1,3.72,341.1,1,16,20,1,1,16,47.2,-8.8,10000,14.3,Invalid,2015-04-02,00:01:33
